x,y,z
307.615085714834,235.2014121431465,a
347.0420341725257,208.8039488531507,a
324.6444040258526,253.27408414966965,a
323.91138637329277,237.2162291779798,a
279.2956390664304,275.6332396732826,a
311.38836026548057,270.8956637734466,a
290.6040686126068,249.53702404465474,a
290.9599548296032,315.39908116809363,a
298.1537926341198,253.67345650164324,a
327.42719138840846,281.84741058331497,a
334.54425802988334,267.46405115820625,a
371.59588132269835,266.45387981986005,a
367.68769370916345,305.9132038797697,a
344.951434334713,304.2461924479459,a
332.5396947657421,285.56344830066456,a
330.4839363779946,327.27779620545306,a
368.5495268080036,293.2495438640914,a
296.0917011995228,288.28119886367415,a
384.180487898633,283.68925958815646,a
339.5050352658194,274.65602867291,a
361.38031467364937,275.4587840797914,a
353.67676722396135,282.4691753568676,a
407.30128846313534,255.92478182837266,a
384.37386554928935,257.1945543711338,a
379.8836019957135,291.20916277646154,a
377.9789354462242,251.39596886266636,a
372.51248059749446,280.43281439936766,a
410.03738554395665,260.33314446837403,a
407.1551525565308,268.7761541763691,a
393.9500407971507,275.6692192332794,a
404.15373031004214,255.1548241064183,a
341.43403787066717,269.9387472992819,a
355.95152541718267,249.41462624359076,a
403.0120665132056,235.3739469986147,a
337.286891863001,176.55551948847352,a
347.6308682981072,234.78046848787147,a
352.9759760768329,252.38801052817325,a
308.40223732451415,251.68808662153324,a
311.58288948433074,248.6880021932328,a
343.8591779611978,235.44151511640518,a
323.21662093425243,218.52321660495988,a
317.07842947392106,238.18396852243308,a
278.6322237371073,212.69560687889378,a
284.104174237339,226.4782193819015,a
268.1676040896922,232.60553187876138,a
276.4890353161566,264.5140540842897,a
254.60068053578644,189.9731064097499,a
298.78162470490315,241.87776246369054,a
241.57183569037267,181.2292969212483,a
287.4529397349724,254.05292288896118,a
264.62642650752747,248.78593840801148,a
265.9884812465654,233.30199412540338,a
294.7157136769546,348.8912396384345,a
296.7438480383093,304.02987719558024,a
263.3542954221992,305.85453560081305,a
337.3670671218302,294.52978236625574,a
318.1668777242355,329.306542277899,a
325.67158279020214,317.0004877684146,a
346.1352924540092,324.7026989422525,a
303.7674568059745,302.42209436716115,a
345.37806782237266,309.9615461125596,a
325.37260808221237,292.894036386839,a
322.69871211499,319.4960080503036,a
311.78307992517483,325.12312346232613,a
338.95923555332007,284.3666089863045,a
386.85988769621844,325.90776101461597,a
468.73070684272545,288.08832160062013,a
347.81897777143575,348.0100780178934,a
383.9567077171142,310.30525829506325,a
396.9375408828501,314.64440033369584,a
378.50539526671736,235.35280302664182,a
341.34833850912145,294.80390053051565,a
389.3919221412766,208.24927897849057,a
379.5283825408045,256.6963396372615,a
382.231678570792,231.10727933829565,a
361.5458231760338,250.09602424604068,a
404.721909760673,253.17515927000403,a
368.6179042404642,196.96857609298445,a
357.21412546531445,192.75477138390283,a
401.6282593076074,170.91749259476723,a
349.2829055856983,153.51248100136894,a
309.56486504514885,163.68470044246368,a
364.2695095604486,218.02553682564007,a
369.54830470938026,167.04508735014355,a
296.64048250081254,149.57041892202528,a
290.96721383069683,152.701239278978,a
324.0077214299161,201.84466337178003,a
271.01026505912256,204.46611761606067,a
298.5292727435065,208.56397183418431,a
289.05378663253094,179.70532097619025,a
262.4746814666447,224.65736786710164,a
278.7863289792271,252.72071698558298,a
228.41459860233988,212.10898125578882,a
269.83144224211827,263.38952730078654,a
269.8692959299612,249.9509401380191,a
252.67683609843988,255.71565648736475,a
266.2787055589262,264.4140081226681,a
255.9105008941005,276.20014314840284,a
312.00996664721885,296.2466902597325,a
290.1610884614008,297.7787209370414,a
275.1555944005195,321.57799301911666,a
290.71394349725125,274.88625135569146,a
325.3435123766608,258.0643332775784,a
366.2101270455007,308.95011316528803,a
330.9643807627138,273.56102929074126,a
384.54974408698865,367.86797249782336,a
354.22923962725554,306.37894375961764,a
322.3515423353349,317.02752762901196,a
406.9578851109716,336.4968773560016,a
350.7765369533436,357.91701920820924,a
434.6928832084825,315.9861135968759,a
411.00518747773873,338.0914375381109,a
362.7694446907753,338.76138480689286,a
417.3935492511968,318.3520644795309,a
427.01988733312874,364.3351709608262,a
440.44131355142105,332.27863804553795,a
448.94081999504886,339.57595458811454,a
417.6514999641774,322.713993077943,a
390.51583904570066,348.7703524477127,a
436.7141744152456,332.78826549415953,a
418.584408854751,316.96173446101193,a
408.6393076139938,313.92420355544965,a
404.096893897185,330.2392519092534,a
416.1896659217854,307.91409127023405,a
397.11220471025104,312.52606790710684,a
421.74390127274717,310.99297095135955,a
434.6787276609679,266.4071333560895,a
393.74615564283414,244.08921425648455,a
447.6300407220352,269.9119658611673,a
412.4648677667049,265.15449675823317,a
365.3927520744837,252.73595116380153,a
398.542582999915,279.3141127334065,a
395.65047372264536,296.7439811967803,a
386.914481987088,290.00174082486285,a
390.5954677736143,235.09227269966766,a
385.79350192126066,231.50869260218525,a
406.06393587357616,248.33247899001162,a
355.517813567043,210.8635504422689,a
409.67245501993517,211.82275226278682,a
358.6656112821283,192.49906475698225,a
358.5121473324927,258.58885625086367,a
390.5480007916953,266.29924907405615,a
353.8825756916407,274.7119135730037,a
365.9779497219722,202.65176868669033,a
382.3745231995276,240.10880996393297,a
96.82628220812192,142.50571286214233,b
129.52837449031642,153.3096344666235,b
169.50372420285265,87.9627845562494,b
146.36715438640329,160.20079318350054,b
162.153330965137,175.906631414395,b
169.98581555358223,197.31982513676002,b
167.8231461010546,186.2720393289718,b
167.82680933432337,189.49825115704886,b
148.97225060777143,221.98935087823503,b
201.11621650605727,193.59351957926037,b
150.80562421756545,210.63717569193744,b
199.13366610485343,218.21700748308257,b
192.90079279252126,228.72368138843467,b
199.65762306026377,213.97898389420186,b
205.39386025000388,226.84975567144312,b
198.45429167993086,203.52091540791525,b
210.41963276814093,241.81298941115392,b
208.95640669790228,242.92342042377692,b
189.35886768874417,238.9012236410917,b
214.7508702375358,202.45883795210375,b
219.24130070057427,145.5667211054709,b
235.44785749047676,207.0345865190796,b
211.56241192525601,152.10253450073458,b
175.0607951628869,185.76396998547744,b
206.1963595540178,147.81125965626956,b
196.64634802651224,150.19260576420004,b
174.84275071884656,144.78223173338023,b
129.63633720951808,121.3856491451944,b
195.86274853454034,121.82259976604234,b
119.06468416308044,122.54934042287357,b
122.10153529367884,197.51740012070098,b
166.47222160124034,144.24071592848253,b
92.37567382946423,173.72323040448885,b
75.39086135043766,154.4820363409114,b
87.08768970485953,157.20922814051914,b
45.200067110918084,211.75447816824038,b
81.71786556690309,245.01896279922647,b
93.1379653083208,142.9033966200803,b
92.55573493951094,250.22049578206503,b
35.14527472307327,247.6855327452771,b
85.79447910956388,253.52426893768398,b
102.3548947632545,236.5755354017187,b
139.10193123729076,308.39348188887,b
146.3246901059841,309.14486148274324,b
105.33111154411395,283.6589702634249,b
117.23986267521099,326.5336729101351,b
186.96576910907874,293.5563944067047,b
234.57341602860413,295.653231030038,b
207.3218779959228,267.54609239421234,b
194.9151471867448,285.0826905972274,b
179.96076832568582,251.40331052570934,b
193.96336651553685,232.44467946444718,b
183.6784538539325,257.7144749187518,b
139.27738856343342,246.95774613712257,b
228.29619270982934,191.23591550145846,b
199.77746876566013,257.09093936887126,b
138.20298592684097,256.94316363037353,b
140.91208310870013,282.46813351298584,b
85.52038155448443,225.88834808810265,b
174.3337091355029,262.5911564491914,b
82.24000266973457,217.19862973323086,b
58.65489847538631,254.29064817435415,b
98.3657167645693,231.096549904573,b
103.27454372177763,226.7253092804931,b
109.15603387370544,263.4189400169507,b
85.82734565925712,235.33775241788777,b
71.2762473672066,318.8603999930938,b
112.60404773850519,281.20075652390904,b
136.35696104888083,261.21968772738774,b
137.40369581628755,367.5620916492321,b
225.0422261871105,345.2444772637589,b
191.47561941118204,374.5963658624097,b
227.89975116938513,400.48059707033656,b
208.4955135094838,386.3955369182703,b
255.0549066116466,424.58084001675775,b
253.88614089085186,417.89743036482537,b
237.68960182590544,485.57708380215564,b
253.35242211178385,456.76196680421504,b
204.2304390627641,423.7047046544376,b
219.89287734262857,460.30609343709597,b
258.83422135860087,436.4153554036134,b
222.2053072454989,459.4793474355268,b
291.2716873468106,508.21863120083174,b
276.75631620826687,419.0935277306787,b
241.027752891698,483.37347968099874,b
263.2725446726431,439.61939168327746,b
231.60105992297366,413.48326889886016,b
231.4633522319527,427.1442726639274,b
206.79012409580824,407.39502911476234,b
216.6099990053057,396.2664709260729,b
193.4730637737863,330.4690501614707,b
207.5083825700943,310.83218486350097,b
216.6205911244543,267.6564084110034,b
245.25910239474,293.19414428325445,b
188.6264762222041,284.1005314215278,b
187.7974202618058,275.3419785388373,b
163.7995910762096,318.15048525805616,b
172.8608378795078,289.1682175842078,b
117.24446153743155,329.62325983620497,b
117.71377332526205,331.16663835608404,b
77.23628856624832,292.92593122227873,b
104.97288553807454,362.84695257305566,b
114.48661968375737,277.8322023009014,b
83.70829313814468,391.5244957254753,b
116.71700299727648,309.22737572342174,b
106.20210471483477,321.01150906812103,b
121.16873929485996,371.5338514448072,b
91.2667802538072,380.4485324033083,b
127.47998452237123,399.70096317567265,b
141.45790874722957,391.89583618672054,b
107.72035255753866,471.59772276701455,b
160.20827016074952,446.52324269968045,b
199.9289493817136,431.47796481337963,b
193.65106130453896,446.6848397709692,b
220.29286549745447,435.4044895924593,b
243.5424912302041,476.8041726840851,b
261.5684337286585,455.34790406056516,b
286.75719010730256,441.32746269755074,b
281.541375362051,439.64018618923023,b
284.61670276502485,436.9211397250325,b
263.002848564645,439.65986849508505,b
347.03323663913915,432.8432483548221,b
365.5627188110652,452.7034834644553,b
318.6368262443142,422.32458301414874,b
337.2501637768501,449.4940798931601,b
340.84593386257194,419.82809961836233,b
363.2530562074658,429.23752621369044,b
409.5042279814178,450.2088214017743,b
424.64098645342176,446.50350109552255,b
368.6814889207639,416.2482984787718,b
444.7985002864398,423.91501983894364,b
