x,y,z
128.79327126191126,84.48240598895347,a
102.39214605029957,72.09795547086765,a
64.90856073810242,62.18526494040282,a
118.2724477573686,99.70097588056109,a
156.56523058440098,94.8874074828621,a
196.32242022840006,136.95949882877358,a
186.7428684201945,119.05474803469593,a
155.58095211008657,160.05522587792558,a
220.8731537857878,137.05651852434983,a
242.09834277338547,103.35773803514388,a
213.92830993248137,185.77870676773466,a
233.9911751344799,153.31487894081954,a
172.29837731310516,143.8371815338046,a
201.1616025237517,139.1028996259446,a
151.92108576358538,195.55444955772924,a
198.40657305949688,144.5309382817968,a
142.30185921181283,108.54144271336202,a
124.43590413501359,134.78316256882778,a
68.63317133112966,38.74585271460063,a
137.6794030027972,76.99289334126007,a
95.41862771273841,17.485849924585978,a
29.002515057403343,39.69087769848096,a
39.33703622364779,62.3536543625832,a
52.3976275462941,70.24445508755741,a
97.10415307412487,69.09632793844213,a
22.97021620017825,39.32643406427525,a
33.73828710414332,66.48630151260312,a
53.29122366820518,43.573090991113475,a
25.145806469475072,45.64221306280825,a
37.440618685053735,114.33148022159571,a
88.12053612281038,51.300121101812124,a
68.98178445779135,148.85069294733034,a
147.71128918957004,194.05428479578234,a
193.29995766987992,220.07920532147887,a
203.3910187249565,203.9970282880504,a
214.50844460310574,212.94743833386707,a
234.4311770899245,206.13660747221502,a
165.31937498285052,183.26544248210223,a
223.7442073519728,213.9975278039022,a
217.28044100803535,180.80001553445686,a
206.56711371027242,233.57470091891065,a
179.42326694223001,208.91647167936065,a
196.16074627091044,187.87391708472967,a
176.55978692237127,154.28982634706807,a
109.79796481557226,138.68267455441236,a
139.75593689149005,93.92693681880183,a
50.48900486401555,70.40683880661777,a
98.13592366865323,91.62523561592792,a
40.657722254154365,81.32031876984269,a
68.39720337761409,69.00184511518057,a
72.95727380279195,108.4754395497472,a
45.58195445184117,78.94890441324821,a
74.0207689320569,52.25127784878765,a
66.5921473809355,41.79855904553898,a
29.604918795994074,108.30069969697621,a
50.0722738156565,109.98592613251475,a
60.52593253386743,104.1240954967742,a
122.29146996041496,105.967424316407,a
128.54822022770384,170.2919969876491,a
192.74469768314356,181.70875259290784,a
222.6549181099724,199.53303649506393,a
248.5575159276565,256.8721411319571,a
311.8933885884896,242.21528516495,a
271.89127553321,263.95372425119115,a
309.3287790845702,238.81814539790992,a
273.54694803594685,267.6756214363743,a
298.8615137153255,263.5429640812566,a
315.78525080890955,210.51715295508484,a
334.3647874942096,310.3225520978661,a
308.51209507098156,258.3122681158692,a
312.2780975110148,207.2114857610394,a
246.0849260522449,217.80914611126468,a
227.06558558366794,181.3887228918145,a
170.2699533895725,140.60125442267366,a
224.1984099747972,158.99041454959507,a
194.23604355873985,111.32086516840985,a
158.3280907456375,71.21239811305196,a
152.43371123080905,101.40985894871909,a
127.41965252515095,20.699095698598853,a
99.13463547792355,62.90798475499071,a
122.93469737991276,66.78267885287039,a
125.15665816749292,74.59579822707167,a
123.36917296084101,48.83356071564424,a
